symbol,pe_ratio,pb_ratio,roe,debt_ratio,market_cap,eps,profit_margin,last_updated
VNM,18.5,4.2,26.6,0.2,85000000000000,3500,15.2,2024-11-20
VIC,12.3,1.8,6.3,2.0,120000000000000,2800,8.5,2024-11-20
VHM,15.7,2.1,12.7,0.6,95000000000000,4200,12.3,2024-11-20
HPG,9.8,1.5,12.1,0.8,78000000000000,3100,10.8,2024-11-20
VCB,14.2,2.8,17.0,0.0,145000000000000,5200,22.5,2024-11-20
FPT,16.5,3.5,18.5,0.3,68000000000000,4800,14.7,2024-11-20
MSN,11.2,1.9,15.2,0.5,52000000000000,2900,9.8,2024-11-20
VRE,13.8,2.3,8.9,1.2,48000000000000,2100,7.5,2024-11-20
GAS,10.5,2.0,16.8,0.1,92000000000000,6500,18.3,2024-11-20
PLX,8.9,1.4,14.5,0.4,55000000000000,3800,11.2,2024-11-20
