Symbol,PE,PB,ROE,ROA,DebtToEquity,EPS,MarketCap,LastUpdate
VNM,18.5,5.2,25.3,12.1,0.35,5200,95000000000000,2025-11-20
VCB,12.3,2.8,22.1,1.8,8.5,8500,450000000000000,2025-11-20
FPT,15.7,4.1,28.5,15.2,0.42,6800,75000000000000,2025-11-20
HPG,8.2,1.5,18.3,9.5,1.2,3200,62000000000000,2025-11-20
VIC,25.1,3.8,12.5,5.3,2.5,4100,180000000000000,2025-11-20
VHM,15.8,2.1,14.2,6.8,1.8,3500,125000000000000,2025-11-20
TCB,9.8,1.9,20.5,1.5,7.2,7200,98000000000000,2025-11-20
MWG,12.5,2.3,16.8,8.3,0.65,8900,48000000000000,2025-11-20
VPB,6.5,1.2,18.9,1.2,9.8,5600,75000000000000,2025-11-20
GAS,11.2,2.5,19.5,12.8,0.28,9500,105000000000000,2025-11-20
MSN,14.3,3.2,22.1,9.7,0.55,12000,88000000000000,2025-11-20
VRE,18.9,1.8,9.8,5.2,2.1,2800,72000000000000,2025-11-20
SAB,22.5,6.5,28.3,18.5,0.15,18500,135000000000000,2025-11-20
PLX,9.8,1.4,15.2,7.8,0.85,6200,58000000000000,2025-11-20
POW,8.5,1.1,13.5,8.2,1.5,4500,42000000000000,2025-11-20
