feature,importance,cumulative
sma20,0.0,0.0
ema20,0.0,0.0
macd_diff_lag_3,0.0,0.0
rsi_lag_3,0.0,0.0
volume_ratio_lag_2,0.0,0.0
macd_diff_lag_2,0.0,0.0
rsi_lag_2,0.0,0.0
volume_ratio_lag_1,0.0,0.0
macd_diff_lag_1,0.0,0.0
rsi_lag_1,0.0,0.0
relative_strength,0.0,0.0
volatility_20,0.0,0.0
volume_surge,0.0,0.0
volume_ratio,0.0,0.0
momentum_20,0.0,0.0
momentum_10,0.0,0.0
momentum_5,0.0,0.0
bb_position,0.0,0.0
bb_width,0.0,0.0
macd_signal_line,0.0,0.0
macd_dif,0.0,0.0
macd_signal,0.0,0.0
macd,0.0,0.0
atr,0.0,0.0
rsi_signal,0.0,0.0
rsi,0.0,0.0
ema50,0.0,0.0
volume_ratio_lag_3,0.0,0.0
