feature,importance,cumulative
volume_ratio,0.12905591577268066,0.12905591577268066
atr,0.07050771890964802,0.19956363468232868
rsi_lag_2,0.06244560617947719,0.2620092408618059
macd_diff_lag_2,0.05043473681107819,0.31244397767288407
sma20,0.0466344353907159,0.35907841306359994
ema20,0.04620097891786595,0.4052793919814659
volatility_20,0.044254348644963554,0.4495337406264295
ema50,0.04087278173984192,0.4904065223662714
bb_width,0.04036033151370197,0.5307668538799734
volume_ratio_lag_1,0.036635627096020675,0.567402480975994
momentum_5,0.03640310077279575,0.6038055817487897
volume_ratio_lag_3,0.036074191203902116,0.6398797729526918
rsi,0.034651674905892764,0.6745314478585845
bb_position,0.03217842449945955,0.7067098723580441
rsi_lag_1,0.031999358623595,0.7387092309816391
macd_signal,0.03093443317251384,0.769643664154153
volume_ratio_lag_2,0.030011918216639833,0.7996555823707928
rsi_lag_3,0.028796512147781766,0.8284520945185746
macd,0.028550249064507514,0.8570023435830821
momentum_20,0.028414733466672584,0.8854170770497547
macd_diff_lag_3,0.0280062416270137,0.9134233186767684
macd_dif,0.027935962449165373,0.9413592811259338
relative_strength,0.02556895977268716,0.966928240898621
momentum_10,0.02517135076982246,0.9920995916684434
macd_diff_lag_1,0.002481138326661864,0.9945807299951053
volume_surge,0.002219163020822845,0.9967998930159281
rsi_signal,0.0017750007149477727,0.9985748937308758
macd_signal_line,0.0014251062691240032,0.9999999999999998
