feature,rf_importance,gb_importance,xgb_importance,avg_importance
volume_ratio,0.07140287740569921,0.10510151395797901,0.06300605,0.07983681408280063
rs,0.03947966591256335,0.06524921819591904,0.03683992,0.047189601711968114
close_position,0.0469889095827188,0.04726544546049028,0.042296898,0.04551708422105726
momentum_5,0.0427182326548876,0.05646369351869089,0.033830225,0.04433738388042013
bb_position,0.039878196892006244,0.046523295749047525,0.040051155,0.042150882477787525
price_vs_vwap,0.04255306556351668,0.04937390391605628,0.033256553,0.0417278408643445
stoch_k,0.04102490034921238,0.04649004787315385,0.03619343,0.0412361262153676
ema50,0.051127465635663144,0.02887198760512216,0.04063719,0.04021221487527202
hv_ratio,0.04199088750940117,0.04532168855720344,0.030541087,0.03928455421201102
bb_width,0.04069024434626992,0.04377531710143634,0.033139683,0.039201748251307816
volatility_20,0.04312268345794754,0.04253167288350893,0.031185474,0.03894661019606561
rsi,0.04239399525528625,0.03635066128122894,0.0340199,0.03758818505324776
macd_signal,0.03658784218449975,0.03926011406416138,0.036385264,0.03741107349877234
rs_momentum,0.03366172670625162,0.04153971718444112,0.03545344,0.036884960883180946
macd_dif,0.0369499081390779,0.03919924160975802,0.033543866,0.036564338625521775
adx,0.03701382186940465,0.03464389898141072,0.03327916,0.03497895967526899
ema20,0.04461341281298488,0.02857504582482748,0.030399514,0.034529324333342784
macd,0.03627800648906806,0.032491784710821286,0.034090705,0.03428683213860676
momentum_20,0.03396756410840961,0.03596282587064213,0.032532696,0.03415436188663615
price_vs_sma20,0.03652791289085043,0.029980674386103516,0.034093704,0.033534097117191713
momentum_10,0.03401955618893382,0.028195091919594177,0.03695918,0.0330579422847582
sma20,0.04550730865975113,0.01956944360373761,0.032181114,0.03241928874061584
atr,0.03644410620164567,0.025050646596784517,0.032290656,0.03126180297267174
volume_surge,0.002336015605578478,0.0019850364649657733,0.0687564,0.024359151203131046
roc_10,0.034800870522117014,0.02412949642277253,0.0,0.019643455648296514
rsi_signal,0.0022890287076614358,0.00030732965639854214,0.050457258,0.017684538713837482
obv_signal,0.0038319296764935413,0.005236669073036975,0.03761761,0.015562069218123026
macd_signal_line,0.0017998646720996656,0.0005545375307073795,0.016961891,0.0064387644689752575
